Participant Number,Swing Number,Swing Start Time (s),Swing End Time (s),FPV Impact Frame,FPV Impact Timestamp (s),Front-View Impact Frame,Front-View Impact Timestamp (s),Timestamp Offset (s),Total Distance (m),Carry Distance (m),Ball Speed (m/s),Club Speed (m/s),Launch Angle (deg),Horizontal Launch Angle (deg),Clubface Angle (deg),Backspin (rpm),Sidespin (rpm),Lateral Distance (m)
2,47,1761647653.261253,1761647657.731355,48,1761647655.603489,72,1761647655.663002,0.06,49,38.68,22.6,17,22.6,R 12.9,12.4,3815,434,R 14.4
2,48,1761647669.441657,1761647673.477349,47,1761647671.753489,71,1761647671.809646,0.06,57.78,48.06,25.3,20.2,23.4,R 6.2,5.4,3940,117,R 7.9
2,49,1761647686.753056,1761647690.78949,46,1761647689.053489,70,1761647689.088183,0.03,64.29,53.42,27.2,24.4,21.8,L 1.5,-1.4,3953,118,L 0.4
2,50,1761647702.56501,1761647706.801613,48,1761647704.90349,72,1761647704.966902,0.06,46.78,31.74,27.7,18.8,9,L 5.8,-5,2938,132,L 3.9
3,1,1763002901.189106,1763002906.192812,48,1763002902.722022,73,1763002903.624223,0.9,77.53,66.35,29.8,22.8,24.3,R 3.6,3,4227,100,R 7.0
3,2,1763002919.70246,1763002923.638626,45,1763002921.07187,68,1763002921.970792,0.9,86.5,76.4,31.9,24.8,26.9,R 5.4,5.1,4986,404,R 17.1
3,3,1763002938.949653,1763002945.154114,46,1763002940.371709,69,1763002941.251313,0.88,81.22,70.21,30.9,23.4,23.9,R 1.1,0.9,4278,111,R 3.8
3,4,1763002955.928534,1763002961.602314,48,1763002957.471567,72,1763002958.33035,0.86,78.46,67.22,30.4,22.9,22.6,R 2.1,1.8,4164,125,R 5.0
3,5,1763002972.639982,1763002977.710909,46,1763002974.121429,70,1763002974.974287,0.85,84.81,73.95,31.8,24.1,23.7,R 3.2,2.8,4331,125,R 7.4
3,6,1763002989.655216,1763002995.457826,46,1763002991.121288,70,1763002991.989557,0.87,76.7,65.93,29.9,27.1,23.9,R 2.8,1.9,4206,-63,R 3.1
3,7,1763003006.064583,1763003011.702034,46,1763003007.471152,68,1763003008.366261,0.9,79.13,68.51,30.4,25.2,24.2,R 3.6,3.1,4262,131,R 7.5
3,8,1763003024.477908,1763003030.048738,45,1763003025.870999,67,1763003026.74617,0.88,94.17,83.28,34.1,25.9,23.9,R 4.0,3.6,4865,150,R 10.4
3,9,1763003041.490181,1763003045.359672,45,1763003042.870858,68,1763003043.758415,0.89,71.19,58.24,29.8,21.5,17.3,R 1.6,1.4,4125,136,R 3.7
3,10,1763003059.803301,1763003062.972192,44,1763003061.170706,67,1763003062.038196,0.87,89.54,79.74,32.8,25.3,26.1,R 6.2,5.7,5045,263,R 16.1
3,11,1763003095.129388,1763003100.966572,48,1763003096.670411,71,1763003097.530981,0.86,94.3,82.74,34.2,26,22.1,R 1.4,1.1,4392,87,R 4.6
3,12,1763003113.441839,1763003118.249054,44,1763003114.82026,67,1763003115.676835,0.86,80.63,68.75,30.9,25.7,22,R 3.2,2.7,4154,102,R 6.6
3,13,1763003131.855076,1763003136.692466,46,1763003133.320107,70,1763003134.191068,0.87,78.59,66.85,30.5,26,22.2,R 0.9,0.3,4145,-27,R 0.6
3,14,1763003147.366318,1763003152.239572,46,1763003148.819978,70,1763003149.701287,0.88,84.28,73.29,31.9,29,23.3,R 2.4,0.9,4314,-145,R 1.9
3,15,1763003161.978229,1763003165.24554,44,1763003163.369857,67,1763003164.211994,0.84,82.15,73.29,31,29.2,28.3,R 6.2,5.6,5031,245,R 14.7
3,16,1763003184.492951,1763003187.66134,44,1763003185.81967,66,1763003186.694145,0.87,83.57,74.53,30.6,29.7,32,R 12.3,11.6,5883,455,R 29.5
3,17,1763003204.44072,1763003209.179148,42,1763003205.719505,64,1763003206.575592,0.86,84.17,72.44,31.7,23.7,22.6,R 2.1,1.7,4254,107,R 5.3
3,18,1763003222.519863,1763003228.524845,46,1763003223.969353,69,1763003224.821886,0.85,92.81,83.05,34,26.6,25.5,R 1.5,0.7,5280,-100,R 0.7
3,19,1763003240.666841,1763003246.637829,43,1763003241.969204,65,1763003242.835041,0.87,88.7,78.03,32.7,24.9,24.5,R 2.8,2.5,4599,166,R 8.0
3,20,1763003258.746508,1763003262.048826,44,1763003260.069053,66,1763003260.948053,0.88,87.34,7817,31.7,25.7,32,R 11.7,11,6176,434,R 29.9
3,21,1763003335.602318,1763003340.1377,45,1763003337.018414,68,1763003337.870028,0.85,71.96,62.32,28.4,21.3,26.6,R 5.5,5,4271,212,R 10.8
3,22,1763003351.715506,1763003355.350187,44,1763003353.06828,65,1763003353.916348,0.85,82.62,71.88,31.2,28.1,24.5,R 0.1,-0.2,4341,5,R 0.3
3,23,1763003369.526289,1763003372.661885,44,1763003370.918132,66,1763003371.761228,0.84,68.94,49.48,32.8,22.3,9,R 6.3,6.1,3260,535,R 11.7
3,24,1763003387.43909,1763003390.508011,44,1763003388.767984,66,1763003389.64071,0.87,84.43,72.47,31.6,28.6,22.9,R 3.0,2.8,4265,219,R 8.6
3,25,1763003406.152572,1763003411.523424,46,1763003407.567828,69,1763003408.454239,0.89,72.89,63.67,28.8,22.3,26.8,R 1.8,1.8,4302,182,R 5.4
3,26,1763003421.765574,1763003426.367648,46,1763003423.217697,70,1763003424.099901,0.88,75.98,64.63,29.8,25.8,23,R 0.9,-0.3,4147,-74,R 0.2
3,27,1763003438.47638,1763003441.678376,46,1763003439.867559,68,1763003440.777821,0.91,94.61,85.34,33.4,27.3,33.8,R 12.8,11.9,6927,462,R 36.1
3,28,1763003457.123636,1763003461.359382,43,1763003458.417405,65,1763003459.291784,0.87,80.82,70.12,31,24.7,23.8,R 0.2,-0.3,4280,-59,L 0.8
3,29,1763003476.10305,1763003479.238634,46,1763003477.517246,69,1763003478.404702,0.89,89.29,79.05,32.8,22,25.7,R 5.1,4.6,4961,178,R 12.4
3,30,1763003494.61626,1763003499.754453,45,1763003496.017092,68,1763003496.884674,0.87,83.43,71.18,32,28,20.2,L 0.9,-1,4104,53,L 0.1
3,31,1763003516.532469,1763003519.701312,42,1763003517.816912,64,1763003518.667296,0.85,85.44,76.16,31.4,25,30.3,R 9.0,8.4,5654,436,R 24.2
3,32,1763003533.847641,1763003538.649364,45,1763003535.266766,68,1763003536.114917,0.85,85.12,72.69,31.8,27.7,22.2,R 0.2,0.1,4232,124,R 2.7
3,33,1763003550.456528,1763003554.492775,42,1763003551.766629,63,1763003552.591422,0.82,84.34,73.03,32,23.1,22.3,R 1.8,1.2,4250,-30,R 2.1
3,34,1763003568.370556,1763003572.806716,44,1763003569.71648,65,1763003570.571807,0.86,77.68,66.21,30.1,25.9,22.8,R 2.8,2.1,4154,49,R 5.4
3,35,1763003590.785585,1763003594.087876,46,1763003592.216293,69,1763003593.087181,0.87,84.51,75.12,30.9,24.8,31.5,R 10.6,10,5840,480,R 27.5
